symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
TATASTEEL,2021-08-26,2021-09-20,130.8557422512235,123.91895591748295,613,stop,NIFTY METAL,-4252.250022582953,-5.301094330597234,25
APOLLOHOSP,2021-08-26,2021-09-27,4700.4,4520.587146433302,17,stop,NIFTY HEALTHCARE,-3056.818510633856,-3.8254798222852826,32
OFSS,2021-08-26,2021-09-29,4238.0,3946.507949226019,28,stop,NIFTY MS IT TELCM,-8161.777421671473,-6.878056884709327,34
COFORGE,2021-08-26,2021-09-29,994.0,1004.0039041531818,85,stop,NIFTY MS IT TELCM,850.3318530204524,1.0064289892536937,34
TECHM,2021-08-26,2021-09-29,1360.6,1290.9083207962938,59,stop,NIFTY IT,-4111.809073018662,-5.122128414207417,34
JSWENERGY,2021-08-26,2021-10-01,237.95,385.2,504,rebalance,NIFTY COMMODITIES,74214.0,61.88274847657071,36
KPITTECH,2021-08-26,2021-10-01,318.55,338.05,376,rebalance,NIFTY MS IT TELCM,7332.0,6.121487992465857,36
CAMS,2021-09-29,2021-10-01,626.9,597.1,147,rebalance,NIFTY MS FIN SERV,-4380.599999999993,-4.753549210400376,2
SRF,2021-08-26,2021-10-20,1812.65,2191.8879245162216,66,stop,,25029.703018070617,20.921740243081754,55
PRESTIGE,2021-10-01,2021-10-20,480.95,429.56172956075403,133,stop,NIFTY REALTY,-6834.639968419712,-10.684742788074841,19
OIL,2021-10-01,2021-10-20,166.7,151.44805916158137,547,stop,NIFTY OIL AND GAS,-8342.811638614985,-9.149334636123951,19
ANGELONE,2021-09-20,2021-10-21,124.77939221272555,128.33883673709067,1053,stop,NIFTY MS FIN SERV,3748.095084156471,2.8525900481202404,31
KEI,2021-10-20,2021-10-22,942.55,849.9928689532858,100,stop,NIFTY EV,-9255.713104671417,-9.819864309237092,2
MAXHEALTH,2021-09-27,2021-10-25,357.2521108179419,325.09311676267987,379,stop,NIFTY HEALTHCARE,-12188.258746944313,-9.001764603050999,28
IEX,2021-10-01,2021-10-29,206.8,224.95,441,stop,NIFTY MS FIN SERV,8004.14999999999,8.776595744680836,28
JSWENERGY,2021-11-01,2021-11-18,342.25,306.50023104129406,367,stop,NIFTY COMMODITIES,-13120.16520784508,-10.445513209263968,17
GODREJPROP,2021-10-01,2021-11-22,2259.6016393442624,2070.7664912508308,61,stop,NIFTY REALTY,-11518.944033699328,-8.357010581220493,52
BANKBARODA,2021-11-01,2021-11-22,85.65,77.89478081704188,1063,stop,NIFTY PSU BANK,-8243.797991484491,-9.054546623418712,21
TATAELXSI,2021-08-26,2021-11-23,4861.6,5815.920091617478,24,stop,NIFTY MS IT TELCM,22903.682198819457,19.6297534066455,89
INDHOTEL,2021-10-01,2021-11-26,178.5,186.44291648012052,522,stop,NIFTY IND TOURISM,4146.202402622909,4.449813154129134,56
OBEROIRLTY,2021-10-20,2021-11-26,882.2,859.4694956146146,107,stop,NIFTY REALTY,-2432.1639692362396,-2.5765704358859054,37
