symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days,entry_reason,exit_stop_price,stop_type
BANKINDIA,2026-01-14,2026-01-22,148.03,162.86999999999998,1347,target,NIFTY PSU BANK,19989.479999999967,10.024994933459407,8,ha_ema21_touch,140.61,n/a
BANKBARODA,2026-01-14,2026-01-23,298.05,286.45,671,stop,NIFTY PSU BANK,-7783.600000000015,-3.891964435497408,9,ha_ema21_touch,286.45,initial
PNB,2026-01-14,2026-01-23,125.04,118.9,1599,stop,NIFTY PSU BANK,-9817.86,-4.910428662827893,9,ha_ema21_touch,118.9,initial
APLAPOLLO,2026-01-14,2026-01-29,1934.7,2110.1000000000004,103,target,NIFTY METAL,18066.200000000033,9.066005065384841,15,ha_ema21_touch,1847.0,n/a
HINDZINC,2026-01-14,2026-02-01,654.2,575.0,151,stop,NIFTY METAL,-11959.200000000006,-12.10638948333843,18,ha_ema21_touch,588.35,initial
MCX,2026-01-27,2026-02-01,2418.0,2245.0,59,stop,NIFTY MS FIN SERV,-10207.0,-7.154673283705537,5,ha_ema21_touch,2245.0,initial
INDIANB,2026-01-22,2026-02-02,878.05,814.3,159,stop,NIFTY PSU BANK,-10136.25,-7.26040658276863,11,ha_ema21_touch,814.3,initial
AXISBANK,2026-02-03,2026-03-09,1356.2,1282.2,145,stop,NIFTY PVT BANK,-10730.0,-5.456422356584579,34,ha_ema21_touch,1302.9,initial
BAJAJ-AUTO,2026-02-10,2026-03-09,9774.0,9471.5,20,stop,NIFTY AUTO,-6050.0,-3.094945774503788,27,ha_ema21_touch,9471.5,initial
APOLLOHOSP,2026-03-05,2026-03-16,7775.0,7476.0,25,stop,NIFTY HEALTHCARE,-7475.0,-3.8456591639871363,11,ha_ema21_touch,7476.0,initial
TORNTPHARM,2026-03-10,2026-03-23,4427.8,4175.2,38,stop,NIFTY PHARMA,-9598.800000000014,-5.704864718370306,13,ha_ema21_touch,4175.2,initial
SUNPHARMA,2026-03-05,2026-04-02,1784.5,1665.0,111,stop,NIFTY PHARMA,-13264.5,-6.696553656486415,28,ha_ema21_touch,1712.0,initial
GLENMARK,2026-03-10,2026-04-02,2225.8,2050.2,55,stop,NIFTY MIDSML HLTH,-9658.00000000002,-7.889298229849961,23,ha_ema21_touch,2050.2,initial
ADANIPOWER,2026-03-25,2026-04-08,153.65,171.65,1063,target,NIFTY COMMODITIES,19134.0,11.714936544093725,14,ha_ema21_touch,144.65,n/a
ONGC,2026-02-04,2026-04-28,260.8,298.6,521,target,NIFTY OIL AND GAS,19693.800000000007,14.493865030674847,83,ha_ema21_touch,241.9,n/a
NAM-INDIA,2026-06-04,2026-06-08,1129.1,1061.6,144,stop,NIFTY CAPITAL MKT,-9720.0,-5.978212735807276,4,ha_ema21_touch,1061.6,initial
HINDALCO,2026-05-20,2026-06-10,1085.5,1037.1,178,stop,NIFTY METAL,-8615.200000000015,-4.458774758175965,21,ha_ema21_touch,1037.1,initial
GVT&D,2026-06-04,2026-07-03,5086.5,4581.0,19,stop,NIFTY ENERGY,-9604.5,-9.938071365378942,29,ha_ema21_touch,4581.0,initial
LAURUSLABS,2026-06-19,2026-07-03,1412.9,1552.9,135,target,NIFTY MIDSML HLTH,18900.0,9.90869842168589,14,ha_ema21_touch,1342.9,n/a
MOTHERSON,2026-06-25,2026-07-07,151.71,141.76,957,stop,NIFTY AUTO,-9522.150000000016,-6.558565684529705,12,ha_ema21_touch,141.76,initial
ADANIGREEN,2026-07-14,2026-07-22,1604.5,1493.6,85,stop,NIFTY COMMODITIES,-9426.500000000007,-6.911810532876295,8,ha_ema21_touch,1493.6,initial
ADANIPOWER,2026-05-25,2026-07-28,233.38,208.03,383,stop,NIFTY COMMODITIES,-9709.049999999997,-10.862113291627384,64,ha_ema21_touch,208.03,initial
BHARATFORG,2026-07-17,2026-08-10,2190.5,2082.0,85,stop,NIFTY AUTO,-9222.5,-4.953207030358364,24,ha_ema21_touch,2082.0,initial
