symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
ADANIENSOL,2021-01-01,2021-01-18,434.25,402.4300044390414,184,stop,NIFTY COMMODITIES,-5854.879183216382,-7.327575258712404,17
CGPOWER,2021-01-01,2021-01-22,44.65,39.77682865231839,2687,stop,NIFTY ENERGY,-13094.211411220474,-10.914157553598224,21
OBEROIRLTY,2021-01-01,2021-01-27,590.1,534.6217766872071,136,stop,NIFTY REALTY,-7545.038370539837,-9.40149522331688,26
JSWSTEEL,2021-01-22,2021-01-28,375.4,369.8289974232897,285,stop,NIFTY METAL,-1587.7357343624271,-1.4840177348722117,6
TATASTEEL,2021-01-01,2021-01-29,59.32,55.64665200000002,2022,stop,NIFTY METAL,-7427.509655999966,-6.19242751180038,28
GODREJPROP,2021-01-27,2021-01-29,1297.15,1259.0,56,stop,NIFTY REALTY,-2136.400000000005,-2.9410630998728093,2
LAURUSLABS,2021-01-01,2021-02-01,353.4,350.1,339,rebalance,NIFTY MIDSML HLTH,-1118.6999999999846,-0.9337860780984641,31
ASTRAL,2021-01-01,2021-02-01,987.25,974.15,81,rebalance,NIFTY MULTI MFG,-1061.1000000000017,-1.326918207141048,31
PERSISTENT,2021-01-18,2021-02-01,796.2,773.3,93,rebalance,NIFTY MS IT TELCM,-2129.7000000000085,-2.8761617683999097,14
LTM,2021-01-29,2021-02-01,3963.9,3937.65,26,rebalance,NIFTY IT,-682.5,-0.6622265950200545,3
TATAPOWER,2021-01-29,2021-02-01,75.4,79.9,1060,rebalance,NIFTY COMMODITIES,4770.0,5.968169761273212,3
SHRIRAMFIN,2021-02-01,2021-02-26,266.4220634920635,256.51526599274735,315,stop,NIFTY FINSEREXBNK,-3120.641212284589,-3.718459863821022,25
TATAELXSI,2021-01-01,2021-03-01,1867.95,2602.3434261140783,43,stop,NIFTY MS IT TELCM,31578.917322905363,39.31547558093516,59
ADANIENT,2021-01-01,2021-03-01,476.2,825.5,251,rebalance,NIFTY METAL,87674.3,73.35153296934062,59
PGEL,2021-02-01,2021-03-01,18.2,31.7,6713,rebalance,NIFTY CONSR DURBL,90625.5,74.17582417582418,28
CUMMINSIND,2021-02-26,2021-03-01,787.75,800.65,102,rebalance,,1315.7999999999977,1.6375753728974818,3
